model,vision,in_per_1m_usd,out_per_1m_usd,cached_in_per_1m_usd,context
ibm-granite/granite-4.0-h-micro,no,0.017,0.112,0.0,131000
mistralai/mistral-nemo,no,0.019,0.03,0.0,131072
inclusionai/ling-3.0-flash,no,0.021,0.063,0.0042,262144
nex-agi/nex-n2.5-mini,yes,0.025,0.1,0.0025,262144
openai/gpt-5-nano:batch,yes,0.025,0.2,0.0025,400000
meta-llama/llama-3.2-1b-instruct,no,0.027,0.201,0.0,60000
inference-net/schematron-v2-turbo,no,0.03,0.15,0.03,128000
~deepseek/deepseek-v4-flash-latest,no,0.03,1.0,0.008,1310720
qwen/qwen3.7-flash,yes,0.03,0.13,0.006,1000000
openai/gpt-oss-20b,no,0.03,0.13,0.03,131072
amazon/nova-micro-v1,no,0.035,0.14,0.0,128000
cohere/command-r7b-12-2024,no,0.0375,0.15,0.0,128000
inception/mercury-2.5,no,0.04,0.15,0.004,260000
deepseek/deepseek-v4-flash-0731,no,0.04,0.64,0.016,1310720
sao10k/l3-lunaris-8b,no,0.04,0.05,0.0,8192
tencent/hy-mt2-1.8b,no,0.044,0.177,0.0,8192
qwen/qwen3-30b-a3b-instruct-2507,no,0.0481,0.193,0.0,262144
inference-net/schematron-v2-small,no,0.05,0.23,0.05,128000
nvidia/nemotron-3-nano-30b-a3b,no,0.05,0.2,0.03,262144
openai/gpt-5-nano,yes,0.05,0.4,0.005,400000
google/gemini-2.5-flash-lite:batch,yes,0.05,0.2,0.01,1048576
openai/gpt-4.1-nano:batch,yes,0.05,0.2,0.0125,1047576
google/gemma-3-4b-it,yes,0.05,0.1,0.0,131072
google/gemma-3-12b-it,yes,0.05,0.15,0.0,131072
mistralai/mistral-small-24b-instruct-2501,no,0.05,0.08,0.0,32768
meta-llama/llama-3.2-3b-instruct,no,0.05,0.33,0.0,131072
meta-llama/llama-3.1-8b-instruct,no,0.05,0.08,0.025,131072
inclusionai/ling-3.0-flash-vl,yes,0.06,0.18,0.012,131072
ibm-granite/granite-4.2-8b,no,0.06,0.25,0.015,131072
inclusionai/ling-3.0-flash-fin,no,0.06,0.18,0.012,262144
poolside/laguna-xs-2.1,no,0.06,0.12,0.03,262144
amazon/nova-lite-v1,yes,0.06,0.24,0.0,300000
z-ai/glm-4.7-flash,no,0.0605,0.4,0.0,200000
qwen/qwen3.5-flash-02-23,yes,0.065,0.26,0.0,1000000
nvidia/nemotron-3.5-lightning,no,0.07,0.2,0.04,262144
qwen/qwen3-coder-30b-a3b-instruct,no,0.07,0.28,0.0,262144
microsoft/phi-4,no,0.07,0.14,0.0,16384
tencent/hy-mt2-30b-a3b,no,0.074,0.295,0.0,8192
tencent/hy-mt2-7b,no,0.074,0.295,0.0,8192
prism-ml/ternary-bonsai-2-27b,yes,0.075,0.5,0.0,262144
nex-agi/nex-n2.5-pro,yes,0.075,0.25,0.015,262144
~z-ai/glm-flash-latest,yes,0.075,0.25,0.015,1310720
z-ai/glm-5.3-flash:batch,yes,0.075,0.25,0.015,1048576
mistralai/mistral-small-2603:batch,yes,0.075,0.3,0.0075,262144
bytedance-seed/seed-1.6-flash,yes,0.075,0.3,0.0,262144
mistralai/ministral-8b-2512:batch,yes,0.075,0.075,0.0075,262144
openai/gpt-oss-safeguard-20b,no,0.075,0.3,0.0375,131072
openai/gpt-4o-mini:batch,yes,0.075,0.3,0.0375,128000
nvidia/nemotron-3-super-120b-a12b,no,0.08,0.45,0.0,262144
qwen/qwen3-32b,no,0.08,0.28,0.0,131072
google/gemma-3-27b-it,yes,0.08,0.45,0.04,131072
gryphe/mythomax-l2-13b,no,0.08,0.11,0.0,8192
qwen/qwen3-235b-a22b-2507,no,0.0875,0.35,0.0175,262144
deepseek/deepseek-v4-flash,no,0.0886,0.1772,0.0177,1048576
upstage/solar-pro4,no,0.09,0.36,0.018,524288
poolside/laguna-s-2.1,no,0.09,0.18,0.009,1048576
google/gemma-4-26b-a4b-it,yes,0.09,0.3,0.05,262144
google/gemma-4-31b-it,yes,0.09,0.34,0.05,262144
qwen/qwen3-next-80b-a3b-instruct,no,0.09,1.1,0.0,262144
mistralai/mistral-small-3.2-24b-instruct,yes,0.0938,0.25,0.0,256000
meta/muse-spark-1.3-contributor,yes,0.1,0.2,0.002,1048576
meta/muse-spark-1.2-contributor,yes,0.1,0.2,0.002,1048576
openai/gpt-5.6-luna-pro:batch,yes,0.1,0.6,0.01,1050000
openai/gpt-5.6-luna:batch,yes,0.1,0.6,0.01,1050000
rekaai/reka-edge,yes,0.1,0.1,0.0,16384
openai/gpt-5.4-nano:batch,yes,0.1,0.625,0.01,400000
qwen/qwen3.5-9b,yes,0.1,0.15,0.0,262144
bytedance-seed/seed-2.0-mini,yes,0.1,0.4,0.0,262144
stepfun/step-3.5-flash,no,0.1,0.3,0.0,262144
mistralai/ministral-3b-2512,yes,0.1,0.1,0.01,131072
mistralai/voxtral-small-24b-2507,no,0.1,0.3,0.01,32768
bytedance/ui-tars-1.5-7b,yes,0.1,0.2,0.1,128000
google/gemini-2.5-flash-lite,yes,0.1,0.4,0.01,1048576
openai/gpt-4.1-nano,yes,0.1,0.4,0.025,1047576
meta-llama/llama-4-scout,yes,0.1,0.3,0.0,1310720
rekaai/reka-flash-3,no,0.1,0.2,0.0,65536
meta-llama/llama-3.3-70b-instruct,no,0.1,0.32,0.0,131072
qwen/qwen-2.5-7b-instruct,no,0.1,0.2,0.0,32768
qwen/qwen3-vl-32b-instruct,yes,0.104,0.416,0.0,131072
deepseek/deepseek-v4-flash-vision-exp:batch,yes,0.11,0.33,0.0035,1048576
deepseek/deepseek-v4-flash-0731:batch,no,0.11,0.33,0.0035,1048576
qwen/qwen3-vl-8b-instruct,yes,0.117,0.455,0.0,262144
qwen/qwen3-8b,no,0.117,0.455,0.0,131072
~deepseek/deepseek-flash-latest,yes,0.12,0.48,0.0036,1048576
qwen/qwen3-coder-next,no,0.12,0.8,0.07,262144
qwen/qwen3-30b-a3b,no,0.12,0.5,0.0,131072
qwen/qwen3-14b,no,0.12,0.24,0.0,131072
google/gemini-3.1-flash-lite:batch,yes,0.125,0.75,0.0125,1048576
openai/gpt-5-mini:batch,yes,0.125,1.0,0.0125,400000
qwen/qwen3-vl-30b-a3b-instruct,yes,0.13,0.52,0.0,262144
z-ai/glm-4.5-air,no,0.13,0.85,0.025,131072
tencent/hy3,no,0.132,0.528,0.033,262144
xiaomi/mimo-v2.6-flash,yes,0.14,0.28,0.0028,1048576
xiaomi/mimo-v2.5,yes,0.14,0.28,0.0028,1050000
tencent/hunyuan-a13b-instruct,no,0.14,0.57,0.0,131072
deepseek/deepseek-v4.1-flash,yes,0.15,0.6,0.003,1048576
qwen/qwen3.8-flash,yes,0.15,0.47,0.016,1000000
z-ai/glm-5.3-flash,yes,0.15,0.5,0.05,1310720
google/gemini-3.5-flash-lite:batch,yes,0.15,1.25,0.015,1048576
perceptron/perceptron-mk1,yes,0.15,1.5,0.0,32768
qwen/qwen3.6-35b-a3b,yes,0.15,1.0,0.05,262144
mistralai/mistral-small-2603,yes,0.15,0.6,0.015,262144
upstage/solar-pro-3,no,0.15,0.6,0.015,131072
mistralai/ministral-8b-2512,yes,0.15,0.15,0.015,262144
qwen/qwen3-next-80b-a3b-thinking,no,0.15,1.2,0.0,262144
openai/gpt-oss-120b,no,0.15,0.6,0.075,131072
mistralai/codestral-2508:batch,no,0.15,0.45,0.015,256000
google/gemini-2.5-flash:batch,yes,0.15,1.25,0.03,1048576
cohere/command-r-08-2024,no,0.15,0.6,0.0,128000
openai/gpt-4o-mini,yes,0.15,0.6,0.075,128000
openai/gpt-4o-mini-2024-07-18,yes,0.15,0.6,0.075,128000
meta/muse-glimmer-30b:batch,yes,0.175,0.75,0.02,131072
tencent/hy3-preview,no,0.18,0.6,0.06,262144
qwen/qwen3-vl-8b-thinking,yes,0.18,2.1,0.0,131072
meta-llama/llama-guard-4-12b,yes,0.18,0.18,0.0,163840
qwen/qwen3.6-flash,yes,0.1875,1.125,0.0,1000000
meta-llama/llama-4-maverick,yes,0.1875,0.6525,0.0,1048576
qwen/qwen3.5-27b,yes,0.195,1.56,0.0,262144
qwen/qwen3-coder-flash,no,0.195,0.975,0.039,1000000
~openai/gpt-luna-latest,yes,0.2,1.2,0.02,1050000
openai/gpt-5.6-luna-pro,yes,0.2,1.2,0.02,1050000
openai/gpt-5.6-luna,yes,0.2,1.2,0.02,1050000
nvidia/nemotron-3.5-content-safety,yes,0.2,0.2,0.0,131072
stepfun/step-3.7-flash,yes,0.2,1.15,0.04,262144
openai/gpt-5.4-nano,yes,0.2,1.25,0.02,400000
mistralai/ministral-14b-2512,yes,0.2,0.2,0.02,262144
qwen/qwen3-vl-30b-a3b-thinking,yes,0.2,2.4,0.0,262144
qwen/qwen3-30b-a3b-thinking-2507,no,0.2,2.4,0.0,81920
mistralai/mistral-medium-3.1:batch,yes,0.2,1.0,0.02,131072
cognitivecomputations/dolphin-mistral-24b-venice-edition,no,0.2,0.9,0.0,128000
openai/gpt-4.1-mini:batch,yes,0.2,0.8,0.05,1047576
mistralai/mistral-saba,no,0.2,0.6,0.02,32768
minimax/minimax-01,yes,0.2,1.1,0.0,1000192
qwen/qwen3-vl-235b-a22b-instruct,yes,0.21,1.9,0.1,262144
deepseek/deepseek-v4-flash-vision-exp,yes,0.22,0.66,0.007,1048576
qwen/qwen3-235b-a22b-thinking-2507,no,0.23,2.3,0.0,131072
google/gemini-3.1-flash-lite-image,yes,0.25,1.5,0.0,65536
google/gemini-3.1-flash-lite,yes,0.25,1.5,0.025,1048576
arcee-ai/trinity-large-thinking,no,0.25,0.8,0.06,262144
bytedance-seed/seed-2.0-lite,yes,0.25,2.0,0.0,262144
inception/mercury-2,no,0.25,0.75,0.025,128000
google/gemini-3.1-flash-lite-preview,yes,0.25,1.5,0.025,1048576
bytedance-seed/seed-1.6,yes,0.25,2.0,0.0,262144
google/gemini-3-flash-preview:batch,yes,0.25,1.5,0.0,1048576
mistralai/mistral-large-2512:batch,yes,0.25,0.75,0.025,262144
openai/gpt-5.1-codex-mini,yes,0.25,2.0,0.03,400000
deepseek/deepseek-chat-v3.1,no,0.25,0.95,0.13,163840
openai/gpt-5-mini,yes,0.25,2.0,0.025,400000
deepseek/deepseek-chat-v3-0324,no,0.25,1.0,0.0,163840
anthropic/claude-3-haiku,yes,0.25,1.25,0.03,200000
openai/gpt-3.5-turbo:batch,no,0.25,0.75,0.0,16385
minimax/minimax-m2,no,0.255,1.02,0.0,204800
qwen/qwen3.5-122b-a10b,yes,0.26,2.08,0.0,262144
qwen/qwen3.5-plus-02-15,yes,0.26,1.56,0.0,1000000
qwen/qwen-plus-2025-07-28,no,0.26,0.78,0.0,1000000
qwen/qwen-plus,no,0.26,0.78,0.052,1000000
deepseek/deepseek-v3.2,no,0.269,0.4,0.1345,163840
minimax/minimax-m2.5,no,0.27,1.08,0.027,204800
deepseek/deepseek-v3.2-exp,no,0.27,0.41,0.0,163840
deepseek/deepseek-v3.1-terminus,no,0.27,1.0,0.135,163840
meta/muse-glimmer-30b,yes,0.3,1.2,0.04,131072
google/gemini-3.5-flash-lite,yes,0.3,2.5,0.03,1048576
meituan/longcat-2.0,no,0.3,1.2,0.006,1048756
minimax/minimax-m3,yes,0.3,1.2,0.06,1048576
qwen/qwen3.5-plus-20260420,yes,0.3,1.8,0.0,1000000
qwen/qwen3.6-27b,yes,0.3,2.0,0.03,262144
minimax/minimax-m2.7,no,0.3,1.2,0.06,204800
minimax/minimax-m2-her,no,0.3,1.2,0.03,65536
minimax/minimax-m2.1,no,0.3,1.2,0.03,204800
z-ai/glm-4.6v,yes,0.3,0.9,0.055,131072
amazon/nova-2-lite-v1,yes,0.3,2.5,0.0,1000000
google/gemini-2.5-flash-image,yes,0.3,2.5,0.03,32768
thedrummer/cydonia-24b-v4.1,no,0.3,0.5,0.15,131072
mistralai/codestral-2508,no,0.3,0.9,0.03,256000
qwen/qwen3-coder,no,0.3,1.0,0.1,262144
google/gemini-2.5-flash,yes,0.3,2.5,0.03,1048576
qwen/qwen3.5-35b-a3b,yes,0.3125,1.25,0.1562,262144
qwen/qwen3.7-plus,yes,0.32,1.28,0.064,1000000
deepseek/deepseek-chat,no,0.32,0.89,0.0,163840
qwen/qwen3.6-plus,yes,0.325,1.95,0.0,1000000
undi95/remm-slerp-l2-13b,no,0.35,0.65,0.0,6144
mistralai/mistral-small-3.1-24b-instruct,yes,0.351,0.555,0.0,128000
qwen/qwen-2.5-72b-instruct,no,0.36,0.4,0.0,32768
z-ai/glm-5.3-flashx,yes,0.37,1.25,0.075,1048576
google/gemini-3.8-flash:batch,yes,0.375,1.875,0.0375,1048576
google/gemini-3.7-flash:batch,yes,0.375,1.875,0.0375,1048576
google/gemini-3.6-flash:batch,yes,0.375,1.875,0.0375,1048576
openai/gpt-5.4-mini:batch,yes,0.375,2.25,0.0375,400000
z-ai/glm-4.7,no,0.4,1.75,0.08,204800
mistralai/devstral-2512,no,0.4,2.0,0.04,262144
qwen/qwen3-vl-235b-a22b-thinking,yes,0.4,4.0,0.0,131072
mistralai/mistral-medium-3.1,yes,0.4,2.0,0.04,131072
minimax/minimax-m1,no,0.4,2.2,0.0,1000000
mistralai/mistral-medium-3,yes,0.4,2.0,0.04,131072
openai/gpt-4.1-mini,yes,0.4,1.6,0.1,1047576
thedrummer/unslopnemo-12b,no,0.4,0.4,0.0,1024000
meta-llama/llama-3.1-70b-instruct,no,0.4,0.4,0.0,131072
mancer/weaver,no,0.4,0.75,0.0,8000
qwen/qwen3.8-27b,yes,0.42,3.0,0.085,1000000
baidu/ernie-4.5-vl-424b-a47b,yes,0.42,1.25,0.0,123000
z-ai/glm-4.6,no,0.43,1.75,0.08,204800
xiaomi/mimo-v2.6-pro,yes,0.435,0.87,0.0036,1048576
xiaomi/mimo-v2.5-pro,no,0.435,0.87,0.0036,1050000
thinkingmachines/inkling-small,yes,0.45,1.2,0.1,1048576
moonshotai/kimi-k2.5,yes,0.45,2.25,0.07,262144
qwen/qwen3-235b-a22b,no,0.455,1.82,0.0,131072
bytedance-seed/seed-2-1-turbo,yes,0.5,2.5,0.0,262144
bytedance-seed/seed-2.0-code,yes,0.5,3.0,0.0,262144
google/gemini-3.1-flash-image,yes,0.5,3.0,0.0,131072
google/gemini-3.1-flash-image-preview,yes,0.5,3.0,0.0,65536
google/gemini-3-flash-preview,yes,0.5,3.0,0.05,1048576
